,name,current_club_name,market_value_in_eur
4629,Gavi,Futbol Club Barcelona,25000000
8181,Callum Hudson-Odoi,Nottingham Forest Football Club,25000000
8450,Ansu Fati,Futbol Club Barcelona,25000000
9672,Lamine Yamal,Futbol Club Barcelona,25000000
1158,João Pedro,Brighton and Hove Albion Football Club,20000000
5092,Endrick,Real Madrid Club de Fútbol,15000000
5181,Geovany Quenda,Sporting Clube de Portugal,15000000
8665,Amad Diallo,Manchester United Football Club,15000000
3511,Willian,Fulham Football Club,11000000
1365,Carlos Forbs,Wolverhampton Wanderers Football Club,10000000
